REPORTE LABOS 2026 - Seguimiento por Cliente (ene-abr) | Montos ARS sin IVA | s/d Avanter marzo y feb de Colgate/MaxVision/SidusFarma/Ceoderma

Código,Programa,Laboratorio,Lab. Propio,Avanter Proveedor,FC POR AVANTER,Precio,Actualización,Status,ENERO TRX,ENERO % TRX MES,ENERO MONTO FC,ENERO MONTO X TRX,FEBRERO TRX,FEBRERO % TRX MES,FEBRERO MONTO FC,FEBRERO MONTO X TRX,MARZO TRX,MARZO % TRX MES,MARZO MONTO FC,MARZO MONTO X TRX,ABRIL TRX,ABRIL % TRX MES,ABRIL MONTO FC,ABRIL MONTO X TRX,MAYO TRX,MAYO % TRX MES,MAYO MONTO FC,MAYO MONTO X TRX,JUNIO TRX,JUNIO % TRX MES,JUNIO MONTO FC,JUNIO MONTO X TRX,JULIO TRX,JULIO % TRX MES,JULIO MONTO FC,JULIO MONTO X TRX,AGOSTO TRX,AGOSTO % TRX MES,AGOSTO MONTO FC,AGOSTO MONTO X TRX,SEPTIEMBRE TRX,SEPTIEMBRE % TRX MES,SEPTIEMBRE MONTO FC,SEPTIEMBRE MONTO X TRX,OCTUBRE TRX,OCTUBRE % TRX MES,OCTUBRE MONTO FC,OCTUBRE MONTO X TRX,NOVIEMBRE TRX,NOVIEMBRE % TRX MES,NOVIEMBRE MONTO FC,NOVIEMBRE MONTO X TRX,DICIEMBRE TRX,DICIEMBRE % TRX MES,DICIEMBRE MONTO FC,DICIEMBRE MONTO X TRX,ANUAL (ene-abr) TRX,ANUAL (ene-abr) % TRX MES,ANUAL (ene-abr) MONTO FC,ANUAL (ene-abr) MONTO X TRX
CLIENTE: ASTRAZENECA
5024,Nutricia Siempre Juntos (Bagó),BAGO,NO,NO,SI - ETICOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,387,0.0386%,28638.00,74.00,329,0.0429%,24346.00,74.00,,,,,421,0.0644%,39153.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137,0.0442%,92137.00,81.04
5027,Programa Vari Te Acerca (Varifarma),VARIFARMA,NO,NO,SI - ETICOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,7,0.0007%,518.00,74.00,6,0.0008%,444.00,74.00,,,,,8,0.0012%,744.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.0008%,1706.00,81.24
5050,Bonos Andrómaco,ANDROMACO,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,554837,55.3717%,41057938.00,74.00,336212,43.8416%,24879688.00,74.00,,,,,260641,39.8854%,24239613.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151690,44.7259%,90177239.00,78.30
5060,Bonos Isdin,ISDIN,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,40175,4.0094%,2972950.00,74.00,25065,3.2684%,1854810.00,74.00,,,,,18937,2.8979%,1761141.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84177,3.2690%,6588901.00,78.27
5090,Bonos Galderma,GALDERMA,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,10966,1.0944%,811484.00,74.00,7941,1.0355%,587634.00,74.00,,,,,9934,1.5202%,923862.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28841,1.1200%,2322980.00,80.54
5100,Bonos Bernabo,BERNABO,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,4458,0.4449%,329892.00,74.00,4207,0.5486%,311318.00,74.00,,,,,4464,0.6831%,415152.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13129,0.5099%,1056362.00,80.46
5110,Bonos Eurolab,EUROLAB,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,26534,2.6480%,1963516.00,74.00,24819,3.2364%,1836606.00,74.00,,,,,31434,4.8103%,2923362.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82787,3.2150%,6723484.00,81.21
5120,Eximia Cepage (Ceoderma) - vía Avanter,CEODERMA,NO,NO,SI - ETICOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,355,0.0354%,26270.00,74.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,0.0138%,26270.00,74.00
5130,Bonos Cassara,CASSARA,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,8603,0.8586%,636622.00,74.00,7894,1.0294%,584156.00,74.00,,,,,9823,1.5032%,913539.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26320,1.0221%,2134317.00,81.09
5140,Bonos Bagó,BAGO,NO,NO,SI - DINAMICAS - BONOS,Facturado vía Avanter - valor unitario por TRX,Trimestral por IPC Indec,PRODUCTIVO,54581,5.4471%,4038994.00,74.00,35663,4.6504%,2639062.00,74.00,,,,,15759,2.4116%,1465587.00,93.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106003,4.1166%,8143643.00,76.82
